,City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
158,Kenmore Village,"15,256",26,1.0,,2,10,13,220,34,181,5,0.0
159,Kent Town,"13,381",1,0.0,,1,0,0,98,22,71,5,0.0
160,Kings Point Village,"5,042",1,0.0,,0,0,1,16,4,11,1,0.0
161,Kingston,"23,665",74,1.0,,4,25,44,687,112,565,10,1.0
162,Kirkland Town,"8,296",0,0.0,,0,0,0,103,21,81,1,
163,Lackawanna,"17,965",89,1.0,,13,11,64,533,100,398,35,3.0
164,Lake Placid Village,"2,491",2,0.0,,0,0,2,51,11,38,2,1.0
165,Lake Success Village,"3,009",2,0.0,,0,0,2,32,10,21,1,
166,Lakewood-Busti,"7,280",1,0.0,,0,1,0,341,23,316,2,
167,Lancaster Town,"36,369",15,0.0,,1,4,10,547,44,494,9,0.0
168,Larchmont Village,"5,930",2,0.0,,0,0,2,87,8,77,2,
169,Le Roy Village,"4,354",11,0.0,,2,1,8,84,17,67,0,
170,Lewiston Town and Village,"16,175",12,0.0,,0,1,11,134,30,96,8,
171,Liberty Village,"4,285",21,0.0,,2,2,17,206,43,160,3,
172,Little Falls,"4,912",16,0.0,,3,1,12,130,18,111,1,
173,Liverpool Village,"2,311",2,0.0,,0,1,1,46,6,39,1,0.0
174,Lloyd Harbor Village,"3,683",0,0.0,,0,0,0,18,2,16,0,0.0
